species,n_cohorts,pooled_effect,pooled_se,z_score,p_value,Q_statistic,Q_pvalue,I2_heterogeneity,min_effect,max_effect,p_adjusted,significant
t__SGB9957,4,-1.3048029466935134,0.07709005211695526,-16.92569807468756,0.0,62.823783301901834,1.4643841694805815e-13,95.2247383994953,-1.401153918680791,3.1093784243002256,0.0,True
c__Alphaproteobacteria,4,-1.834082471576958,0.1957828794012619,-9.367941043598403,0.0,209.2415712979068,0.0,98.56625049152935,-2.976811042682585,6.055242951228679,0.0,True
t__SGB1924,4,-1.3557469231717727,0.12124618242940896,-11.181769982416604,0.0,140.28900245416037,0.0,97.8615572514458,-1.7640059347577886,5.810967255510829,0.0,True
t__SGB2534,4,-1.111293510285398,0.0983070321004355,-11.304313501703964,0.0,69.46099785485617,5.551115123125783e-15,95.68102950915171,-1.3049963020060402,2.749599554226836,0.0,True
p__Spirochaetes,4,-0.9395210036226597,0.10816609799169197,-8.685910105538081,0.0,22.184078191719642,5.972375448815015e-05,86.47678765791689,-1.0373315742972693,2.915464008035313,0.0,True
f__FGB39929,4,-1.0630786719525827,0.11698147276656726,-9.08758153587211,0.0,48.51882069019808,1.6514167811010338e-10,93.81683240168682,-1.2556298179297545,4.332299718494283,0.0,True
f__Comamonadaceae,4,-1.7251012643616728,0.18283485262400495,-9.435297699554571,0.0,373.0299248877051,0.0,99.19577497679225,-3.3940912426697407,7.571586296853858,0.0,True
p__Verrucomicrobia,4,-1.2069127011814889,0.10005764106495987,-12.062174246122108,0.0,81.99151675900123,0.0,96.34108488464979,-1.4039892096196904,4.9811099356219195,0.0,True
o__Neisseriales,4,-0.8418443501713909,0.08875862647489381,-9.484648237650616,0.0,183.30068908649656,0.0,98.36334494160884,-1.1137138381221132,5.396228404996595,0.0,True
o__OFGB39929,4,-1.0630786719525827,0.11698147276656726,-9.08758153587211,0.0,48.51882069019808,1.6514167811010338e-10,93.81683240168682,-1.2556298179297545,4.332299718494283,0.0,True
f__Fluviibacteraceae,4,-0.7981050270442842,0.07529814736013457,-10.599265121718366,0.0,100.4209772606239,0.0,97.01257637414336,-1.838400674002806,8.014854172123815,0.0,True
o__Caulobacterales,4,-0.956678766629232,0.09785064700692048,-9.776928368818767,0.0,30.758129511002917,9.55795176782459e-07,90.24648101918282,-1.5693105635871252,2.339768787745979,0.0,True
o__Bacteroidales,4,-1.4223347653389251,0.16690862450467583,-8.521637330365031,0.0,183.41792838647675,0.0,98.3643910786743,-2.2824608729893807,5.837575836203526,0.0,True
o__Burkholderiales,4,-1.8263886223229495,0.18531254768040611,-9.855720215302298,0.0,410.4890046628602,0.0,99.26916434644481,-3.606439804937006,7.581231764522815,0.0,True
o__Aeromonadales,4,-1.451011588940741,0.11587325843743708,-12.522402567320388,0.0,219.88728112655775,0.0,98.6356646075071,-1.9802878011314204,5.168851965895953,0.0,True
